"","nit","en_vm_canal1","en_vm_canal2","en_vm_canal3","en_vm_canal4","en_vm_canal5","en_vm_canal6","en_vm_canal7","en_vm_canal8","en_vm_canal9","en_vm_canal10","en_vm_otros","en_tx_canal1","en_tx_canal2","en_tx_canal3","en_tx_canal4","en_tx_canal5","en_tx_canal6","en_tx_canal7","en_tx_canal8","en_tx_canal9","en_tx_canal10","en_tx_otros","sal_vm_canal5","sal_vm_canal2","sal_vm_canal8","sal_vm_otros","sal_tx_canal5","sal_tx_canal2","sal_tx_canal8","sal_tx_otros","impo_cv","expo_vt","cxp","cxc","totalinventory","pagos_pj","pagos_pn","tiene_ventas_fisicas","tiene_ventas_electronicas","recaudos_pj","recaudos_pn","rotacion_inventarios","rotacion_cxc","rotacion_cxp","ciclo_negocio","ciclo_financiero","tot_entradas_anuales","tot_entradas_mensuales","tot_salidas_anuales","tot_salidas_mensuales"
"1933","C8259746177794221446",1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,6,0.289,0.711,0,0,0,0,6,1,4,6,6,1665986958.15,237.390909091,2732414867.8,337.007575791
"1934","C5645288648729764939",1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0.431,0.569,1,1,0,0,1,1,1,1,2,8872539095.96,9828.027777743,1240981770.1,21.25
"1935","C4242223861606709267",1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,2,1,0.882,0.118,0,0,0,0,1,1,1,1,2,251696005.35,58.125,24518231.13,7
"1936","C2084998168532208794",1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,2,2,2,1,1,0.014,0.986,0,0,0,0,1,1,1,1,1,3610643260.5,13.573737374,822398006.7,6.155555556
"1937","C1642788591977054390",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,2,2,2,6,6,0.427,0.573,1,0,0,0,6,3,1,6,6,6624971496.65,2898.88888889,5200499218,1272
"1938","C7117169770881078368",1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,2,3,2,0.537,0.463,0,0,0,0,1,2,2,3,3,199570665.67,5.523809524,755011455.67,47.666666667
"1939","C7598789552357615967",1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0.6,0.4,0,0,0,0,1,1,2,1,1,2557881608.95,27.75,973453162.8,187.75
"1940","C25995466045781377",1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,2,2,1,2,0.719,0.281,1,0,0,0,6,1,4,5,1,1151194307.13,3013.4000003,288111047.3,77.41666667
"1941","C7718144371806076536",1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,2,2,2,3,3,0.607,0.393,0,0,0,0,2,2,2,4,3,1872284479.79,157.071428571,1585577740,191.8333333
"1942","C4653786390370791450",1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,1,0.939,0.061,0,1,0,0,1,1,2,1,1,888874050.5,23.166666666,0,0
"1943","C3524893270842424452",1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,2,2,2,3,4,0.394,0.606,1,0,0,0,4,2,1,5,5,3857820341.28,793.127777774,2562029827,1480.416667
"1944","C1130907005427482942",1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2,3,3,2,0.392,0.608,0,0,0,0,2,3,3,4,3,2845633270.09,30.550000003,1490796594,342.75
"1945","C3768562480660964131",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,2,1,1,1,0.805,0.195,1,0,0,0,1,1,1,1,2,4112133841.37,795.902272697,1228388562.9,331.810606027
"1946","C5351521082072559707",1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,3,2,2,3,3,0.697,0.303,0,0,0,0,5,4,3,6,6,1364711724.16,115.071428574,661957907.6,141.3333333
"1947","C1665872995523117258",1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0.206,0.794,0,0,0,0,1,1,1,1,2,1202297882.5,15.416666663,553325264.7,103.9166667
"1948","C6885094091916847560",1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,2,2,1,1,0.905,0.095,0,0,0.25,0.75,1,1,2,2,1,517916483.02,132.63333334,457401846,1
"1949","C669687324128931344",1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,4,2,2,2,4,0.352,0.648,1,0,0,0,6,1,1,6,6,1476380855.84,1369.4444444,1241171036,300.0833333
"1950","C1612633127205070164",1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,6,6,3,0.029,0.971,0,0,0,0,1,1,2,1,1,6825239297.83,94.449999997,34626558715,15837.28333
"1951","C6460250976812072310",1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,2,2,6,6,2,0.669,0.331,0,0,0,0,1,4,2,4,5,4967254096.01,7795.696428571,2724568202.4,66.95833333
"1952","C3733555634494021698",1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,4,2,1,2,2,0.589,0.411,1,0,0,0,6,4,3,6,6,548259406.56,189.92777781,337369685.4,78.08333333
